index	Name	Datasets	class	set	channel	Conditions	operations			
1	20091209200205	h09	human	3	3	G	G			
					4	B	B=>G			
2	20091209201110		human	3	3	G	G			
					4	B	B=>G			
3	20091209201110		human	5	3	B	B			
					4	G	G			
4	20091209201951		human	5	3	B	B			
					4	G	G			
5	20091209201952		human	3	3	G	G			
					4	B	B=>G			
6	20091209202710		human	3	3	G	G			
					4	B	B=>G			
7	20091209203733		human	3	3	G	G			
					4	B	B=>G			
8	20091209203734		human	5	3	B	B			
					4	G	G			
9	20091209204546		human	3	3	G	G			
					4	B	B=>G			
10	20091209204549		human	5	3	B	B			
					4	G	G			
11	20091209205354		human	3	3	G	G			
					4	B	B=>G			
12	20091209205354			5	3	B	B			
					4	G	G			
13	20091209210252			3	3	G	G			
					4	B	B=>G			
14	20091209210252			5	3	B	B			
					4	G	G			
15	20091209211053			3	3	G	G			
					4	B	B			
16	20091209211320			5	3	B	B			
					4	G	G			
17	20091209211826			3	3	G	G			
					4	B	B			
18	20091209211827			5	3	B	B			
					4	G	G			
19	20091209212624			3	3	G	G			
					4	B	B			
20	20091209212627			5	3	B	B			
					4	G	G			
21	20091209214232			3	3	G	G			
					4	B	B			
22	20091209214233			5	3	B	B	ALL-G	0+8	8
					4	G	G	G3B4	13-8=5	5
23	20091209215058			3	3	G	G	B3G4	11	11
					4	B	B		Chan3	Chan4
24	20091209215059			5	3	B	B	G	13	11+8=19
					4	G	G	B	11	13-8=5
25	20091210190159	h10	human	5	3	B	B			
					4	G	G			
26	20091210190204			3	3	B	G			
					4	G	G			
27	20091210205159			3	3	B	G			
					4	G	G			
28	20091210205159			5	3	B	B			
					4	G	G			
29	20091210210003			5	3	B	B			
					4	G	G			
30	20091210210004			3	3	B	G			
					4	G	G			
31	20091210210719			3	3	B	G			
					4	G	G			
32	20091210210720			5	3	B	B			
					4	G	G			
33	20091210211545			3	3	B	G			
					4	G	G			
34	20091210212352			3	3	B	G			
					4	G	G			
35	20091210214342			3	3	B	G			
					4	G	G			
36	20091210214342			5	3	B	B			
					4	G	G			
37	20091210215222			5	3	B	B			
					4	G	G			
38	20091210215223			3	3	B	G			
					4	G	G			
39	20091210220041			5	3	B	B			
					4	G	G			
40	20091210220044			3	3	B	G	ALL-G	0+9	9
					4	G	G	G3B4	0	0
41	20091210212532			5	3	B	B	B3G4	18-9	9
					4	G	G		Chan3	Chan4
42	20091210211545			5	3	B	B	G	0+9=9	18
					4	G	G	B	18-9=9	0
43	20091209230715	ha09	human-animal	3	3	G	G			
					4	B	B=>G			
44	20092109220559			5	3	B	B			
					4	G	G			
45	20091209200600			3	3	G	G			
					4	B	B=>G			
46	20091209221708			3	3	G	G			
					4	B	B=>G			
47	20091209221708			5	3	B	B			
					4	G	G			
48	20091209222415			3	3	G	G			
					4	B	B=>G			
49	20091209222416			5	3	B	B			
					4	G	G			
50	20091209223440			5	3	B	B			
					4	G	G			
51	20091209223444			3	3	G	G			
					4	B	B			
52	20091209225134			5	3	B	B			
					4	G	G			
53	20091209225135			3	3	G	G			
					4	B	B			
54	20091209225901			3	3	G	G			
					4	B	B			
55	20091209225902			5	3	B	B	ALL-G	0+4	4
					4	G	G	G3B4	8-4=4	4
56	20091209230714			3	3	G	G	B3G4	7	7
					4	B	B		Chan3	Chan4
57	20091209230714			5	3	B	B	G	8	7+4=11
					4	G	G	B	7	8-4=4
58	20091210191254	ha10	human-animal	3	3	B	G			
					4	G	G			
59	20091210191254			5	3	B	B			
					4	G	G			
60	20091210192228			3	3	B	G			
					4	G	G			
61	20091210192228			5	3	B	B			
					4	G	G			
62	20091210193146			3	3	B	G			
					4	G	G			
63	20091210193146			5	3	B	B			
					4	G	G			
64	20091210194832			5	3	B	B			
					4	G	G			
65	20091210194833			3	3	B	G			
					4	G	G			
66	20091210200006			5	3	B	B			
					4	G	G			
67	20091210200007			3	3	B	G			
					4	G	G			
68	20091210200859			3	3	B	G			
					4	G	G			
69	20091210200900			5	3	B	B			
					4	G	G			
70	20091210202300			3	3	B	G			
					4	G	G			
71	20091210202300			5	3	B	B			
					4	G	G			
72	20091210203053			3	3	B	G			
					4	G	G			
73	20091210203053			5	3	B	B	ALL-G	0+9	9
					4	G	G	G3B4	0	0
74	20091210204120			3	3	B	G	B3G4	18-9=9	9
					4	G	G		Chan3	Chan4
75	20091210204120			5	3	B	B	G	0+9=9	18
					4	G	G	B	18-9=9	0
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
